,percent_rounded,percent_geochem_preserved,actual_volume,avg_r,non-uni,uni,mantle_temp,int_temp,mean_it3
419,87.9028694416553,6.07226786060976,6716568,122.0,96,174,1040.0,1740,1530.69995278498
420,94.8888465460454,0.0,3820664,103.33333333333333,76,158,1497.0,1660,1592.71953569326
421,96.0083654889746,0.0,15132648,161.33333333333334,194,96,1218.5,1820,1679.32463860263
422,77.4753622111743,1.48032007131811,4092088,138.0,194,26,1277.5,1720,1476.3552206896
423,90.087866814189,31.8604065161996,13239128,147.33333333333334,138,166,349.0,1900,1494.27481943272
424,100.0,0.0,8787544,134.0,104,194,1470.5,1830,1730.18345274037
425,88.013370072121,4.55356368464243,5995480,116.66666666666667,94,162,987.5,1780,1515.44111434629
426,66.0334600486243,40.2390161974595,5768312,127.33333333333333,166,50,968.0,1660,1378.06768446089
427,94.4228851424039,0.0,5093960,110.66666666666667,130,72,1530.5,1630,1596.63064228988
428,85.0592242097985,52.9566580644794,2811688,88.0,94,76,303.0,1880,1294.51293860117
429,0.0,100.0,47672,46.0,10,118,385.5,1800,451.76826237855
430,60.1048697495398,58.60484692972,1577576,86.66666666666667,116,28,1065.5,1680,1325.21121235135
431,52.7512697492135,0.0,1365624,76.66666666666667,98,34,1324.5,1630,1470.82898214125
432,94.0480551372326,0.0,1768968,80.0,98,44,1190.5,1870,1524.35419778881
433,100.0,0.0,5202968,128.66666666666666,172,42,1555.5,1740,1658.89157488131
434,100.0,0.0,3003016,90.66666666666667,80,112,1576.0,1890,1768.38085279378
435,65.9772047654078,93.686885574801,837368,59.333333333333336,52,74,333.5,1740,949.470630564117
436,50.3202569843278,100.0,410920,48.0,38,68,464.0,1730,843.578943926513
437,89.5975243881729,0.0,423976,46.666666666666664,48,44,1182.5,1880,1423.59969784812
438,100.0,0.0,249416,44.0,28,76,1614.5,1830,1669.72124007256
439,80.2789620287846,0.0,9635720,132.0,132,132,1385.5,1630,1570.22306800872
440,87.5201395355712,0.0,541224,52.0,60,36,1238.0,1820,1465.50246102659
441,10.696497493634,100.0,499528,70.66666666666667,100,12,297.5,1760,593.257486751676
442,100.0,0.0,3477080,100.66666666666667,124,54,1602.0,1620,1612.007835343
443,44.4634387113861,100.0,664528,68.66666666666667,94,18,762.5,1720,1033.56003702204
444,81.3436387462738,51.9418056004128,10774920,148.0,184,76,405.0,1750,1329.42965420665
445,70.0249684676568,68.65482840154,2175544,82.0,70,106,691.0,1660,1257.81067729032
446,100.0,0.0,9641544,145.33333333333334,184,68,1605.0,1800,1737.47129390282
447,95.690980794299,0.0,16944552,160.0,170,140,1256.0,1780,1665.08289226644
448,83.7087879401271,49.3543437514969,5177368,107.33333333333333,108,106,560.5,1800,1366.80794247723
449,67.7391843696697,100.0,206368,44.666666666666664,24,86,1119.0,1810,1254.88896622009
450,27.9207713961374,41.5369035578597,18611864,164.66666666666666,158,178,388.0,1620,1368.68165960475
451,99.6634885459507,0.0,20663784,170.66666666666666,162,188,1313.0,1840,1726.55783289396
452,73.292873065574,68.8654373961112,3104280,92.66666666666667,106,66,595.5,1690,1252.54167020616
453,91.0765131924407,6.53759319362617,10527544,138.0,154,106,926.0,1800,1570.71825387632
454,39.7564789991063,100.0,143232,42.0,20,86,507.0,1770,704.943958197487
455,91.0866845317717,19.6198520387545,5364648,109.33333333333333,118,92,770.5,1890,1538.79484257603
456,82.4731101318072,44.4746654968195,10029800,136.0,118,172,432.5,1670,1362.31071683053
457,79.3748636200114,53.2127881672299,6782520,136.66666666666666,180,50,636.5,1740,1321.37003235246
458,62.674465342555,100.0,577192,77.33333333333333,28,176,844.0,1820,1087.33600365632
459,1.78385745186446,71.4467740556313,7578184,122.0,126,114,369.5,1610,1218.77942983911
460,100.0,0.0,400680,80.66666666666667,22,198,1622.5,1630,1624.19218266459
461,18.8991559433868,100.0,560152,70.0,98,14,299.0,1770,630.366436653223
462,79.6175805291137,3.70134564584617,4636584,106.66666666666667,124,72,1116.0,1690,1485.39360249599
463,100.0,0.0,20080152,168.66666666666666,166,174,1555.5,1710,1673.70039594248
464,97.1316127949238,0.0,17061016,160.66666666666666,148,186,1185.5,1860,1710.70052143434
465,64.0037090335439,79.0210800753849,2657296,131.33333333333334,188,18,1058.5,1770,1291.72520366805
466,84.2748501520233,27.8673730425292,3217928,108.0,62,200,913.0,1800,1426.27002712603
467,99.9502875938462,0.0,16366136,163.33333333333334,192,106,1409.5,1750,1660.89566847358
468,77.0971965711263,69.1661524502859,3720872,102.66666666666667,126,56,474.5,1780,1223.8236210542
469,72.3918095420298,77.9714042955452,1421752,70.0,74,62,800.5,1740,1260.45364261567
470,77.3340026287458,68.4316030725943,2422448,83.33333333333333,82,86,316.5,1720,1183.41774506451
471,51.4210750443013,100.0,582376,66.66666666666667,32,136,303.0,1720,743.006238056668
472,60.9973285841496,0.0,386312,46.666666666666664,38,64,1471.5,1650,1529.06946428238
473,89.8358732938615,0.0,6970712,120.66666666666667,136,90,1101.5,1760,1563.22842195799
474,51.4371437143714,100.0,133320,36.666666666666664,22,66,826.5,1790,987.003888911899
475,69.5417689388415,6.45222350827435,2578088,85.33333333333333,90,76,1136.0,1660,1444.91961142863
476,91.5189131176981,0.0,5225368,122.0,158,50,1224.5,1790,1566.53884236061
477,82.6629498277884,41.35063460071,26597512,185.33333333333334,180,196,307.5,1660,1393.94834474128
478,41.1745657393887,100.0,1309352,112.0,162,12,697.5,1800,951.549233586024
479,68.5284485151263,99.3172356369692,720600,56.666666666666664,64,42,362.0,1850,924.953155623426
480,73.4407275753086,54.4392458559302,5480120,110.0,118,94,736.5,1670,1348.18110799973
481,0.0,0.000788708844187,6085896,132.0,174,48,1273.0,1610,1475.84659956666
482,90.53939884391,31.0602357939194,8986152,129.33333333333334,136,116,418.5,1900,1510.31532165614
483,82.7809612040175,44.4769335437083,3868648,114.66666666666667,152,40,784.0,1820,1355.15548522903
484,96.5391641065098,0.0,21928344,174.0,166,190,1138.5,1850,1719.16935319495
485,92.6207234900174,8.57555539070443,12833128,145.33333333333334,142,152,908.5,1810,1607.87503101717
486,94.3126687822681,1.50408117424326,23684360,178.66666666666666,188,160,963.0,1810,1655.67030991289
487,100.0,0.0,14328456,154.66666666666666,178,108,1393.5,1800,1690.99257054612
488,100.0,0.0,579368,62.666666666666664,34,120,1518.0,1880,1631.4516208514
489,100.0,0.0,3644760,110.0,144,42,1603.5,1890,1765.83481214552
490,90.6366511835086,2.32161710128726,3735672,102.0,124,58,1060.5,1840,1522.25924238234
491,88.6132920130028,18.4681908338758,4166472,100.0,96,108,934.0,1790,1514.06204281027
492,93.3725343664576,0.0,406792,46.666666666666664,52,36,1236.5,1900,1467.192420293
493,89.3652087231066,22.9903362335916,15833992,156.0,150,168,746.5,1730,1521.06934445908
494,87.1760547148354,39.3113024121512,11557816,140.66666666666666,148,126,401.5,1790,1430.2944936901
495,79.159773372136,0.0,4395576,103.33333333333333,116,78,1466.5,1640,1579.15471269937
496,72.426244306758,93.6112592835747,194968,37.333333333333336,30,52,1170.5,1800,1312.19420178145
497,86.0325975938847,50.9498672228613,2976416,89.33333333333333,92,84,566.0,1900,1347.939036977
498,83.5720958989742,54.0641615405554,5848488,113.33333333333333,126,88,310.5,1840,1306.11569789806
499,68.0517688577551,0.326374654221975,1205976,75.33333333333333,98,30,1272.0,1690,1447.58901478081
750,93.425537917415,0.0,5813160,116.0,92,164,1329.5,1750,1608.61818058054
751,99.7017271070539,0.0,2392440,95.33333333333333,58,170,1499.5,1730,1622.2586639921
752,100.0,0.0,316360,44.0,52,28,1498.5,1800,1582.87715244248
753,88.4171312231971,14.9799904700657,7202568,124.0,100,172,959.5,1750,1524.80321268223
754,88.2360921344613,9.65628845799781,825576,65.33333333333333,42,112,1133.5,1870,1428.93632050947
755,99.0789395135347,0.0,6030440,114.66666666666667,100,144,1517.5,1640,1597.61762606814
756,77.9380263450151,83.3098042758886,2125032,94.66666666666667,126,32,607.5,1880,1171.82411368145
757,90.1544031291468,18.9261390390783,24651832,180.66666666666666,176,190,776.0,1710,1540.64679251563
758,78.8584932209378,46.1050935789752,14242088,150.66666666666666,144,164,489.0,1650,1368.83137647182
759,16.8711410472296,100.0,99768,33.333333333333336,20,60,322.0,1690,508.624708200135
760,0.0,100.0,533864,51.333333333333336,44,66,286.5,1620,747.315485137694
761,85.6067904468221,32.3464001426425,5787896,124.66666666666667,160,54,777.0,1820,1418.95818842707
762,78.3006531706193,0.0,2465512,84.0,80,92,1241.0,1680,1502.46498864932
763,93.8373494621458,0.0,20156392,169.33333333333334,160,188,1308.5,1720,1631.84473667412
764,99.0466400152294,0.0,1050600,64.0,56,80,1358.0,1830,1566.21623406284
765,81.7520198412007,70.2289056555554,1377336,86.0,44,170,838.0,1880,1273.0928498174
766,58.8672606549004,100.0,140968,36.0,46,16,1183.0,1740,1289.04670618626
767,82.1520953215152,25.0149725364567,6238088,120.0,92,176,938.5,1710,1457.14446455186
768,99.9657475595136,0.0,46712,22.666666666666668,20,28,1540.5,1740,1558.92336153906
769,53.3440064038423,0.0,199880,73.33333333333333,16,188,1386.0,1720,1425.95344657438
770,43.0816246056782,100.0,405760,50.666666666666664,34,84,273.0,1690,690.4574382572
771,84.7704349229404,59.2173000887598,495720,49.333333333333336,46,56,1018.5,1890,1327.62520560997
772,70.5277673310768,100.0,63816,30.666666666666668,16,60,1272.5,1850,1330.46955074017
773,84.6085738649746,37.7058528901148,19597976,167.33333333333334,164,174,511.0,1700,1431.50571860993
774,81.0747730054365,63.4690217987972,1967448,79.33333333333333,90,58,514.5,1830,1247.29705464699
775,87.5178786987351,0.0,788648,82.66666666666667,32,184,1493.5,1700,1559.35147029497
